"#META","7","2","city","〇〇市"
"行ID","発言順位","議員名","会派","質問日","質問予定時間","大きな項目","小さな項目","内容","主訴1","主訴2","主訴3","主訴4","主訴5","所管","聞取り担当者","並び順","出力時刻","回答部","担当者名","本答弁原稿","再質問番号","再質問内容","再質問担当部署","回答番号","再質問答弁者","再質問答弁本文"
"R0702090201010000","9","〇〇 九郎","〇〇会","","","","","通学路合同点検で抽出された危険箇所への対策の進捗状況について問う","対策済み箇所数","未対策箇所への対応方針","","","","〇〇課","","9","8/29 13:24","〇〇部〇〇課","〇〇 〇〇","合同点検で抽出した120箇所のうち、令和7年度末時点で85箇所の対策が完了しています。残る箇所についても優先度を付けて計画的に対策を進めます。","","","","","",""
"R0702100100000000","10","〇〇 十郎","〇〇党","","","中長期的な財政収支見通しを踏まえた持続可能な財政運営の推進について","","","","","","","","","","1","8/29 13:24","","","","","","","","",""
"R0702100101000000","10","〇〇 十郎","〇〇党","","","","公共施設等の維持管理経費の増大に対応した財政計画について","","","","","","","","","2","8/29 13:24","","","","","","","","",""
"R0702100101010000","10","〇〇 十郎","〇〇党","","","","","今後10年間の公共施設維持管理経費の見通しと、財政調整基金の積立方針について問う","維持管理経費の見通し","基金積立の方針","","","","〇〇課","","3","8/29 13:24","〇〇部〇〇課","〇〇 〇〇","今後10年間で維持管理経費は年平均約5％の増加が見込まれます。財政調整基金については標準財政規模の10％を目安に計画的な積立を行っています。","","","","","",""
"R0702100101020000","10","〇〇 十郎","〇〇党","","","","","ふるさと納税の受入実績と、経費控除後の実質的な財源効果について問う","受入実績の推移","実質的な財源効果","","","","〇〇課","","4","8/29 13:24","","","","","","","","",""
"R0702100102000000","10","〇〇 十郎","〇〇党","","","","公共施設の使用料・手数料の見直しの検討状況について","","","","","","","","","5","8/29 13:24","","","","","","","","",""
"R0702100102010000","10","〇〇 十郎","〇〇党","","","","","受益者負担の原則に基づく使用料改定の検討状況と、市民への影響について問う","改定の検討状況","低所得世帯への配慮","","","","〇〇課","","6","8/29 13:24","","","","","","","","",""
"R0702100200000000","10","〇〇 十郎","〇〇党","","","デジタル技術を活用した内部管理事務の効率化とコスト削減について","","","","","","","","","","7","8/29 13:24","","","","","","","","",""
"R0702100201000000","10","〇〇 十郎","〇〇党","","","","RPA・AIを活用した定型業務の自動化の進捗について","","","","","","","","","8","8/29 13:24","","","","","","","","",""
"R0702100201010000","10","〇〇 十郎","〇〇党","","","","","RPA導入による業務削減時間の実績と、今後の導入拡大計画について問う","削減時間の実績","導入拡大の計画","","","","〇〇課","","9","8/29 13:24","〇〇部〇〇課","〇〇 〇〇","RPA導入により年間約3,200時間の業務時間削減効果が得られています。令和8年度は対象業務を10業務追加する予定です。","","","","","",""
"R0702110100000000","11","〇〇 十一郎","〇〇の会","","","交流人口の拡大に向けた〇〇市の観光振興ビジョンの推進について","","","","","","","","","","1","8/29 13:24","","","","","","","","",""
"R0702110101000000","11","〇〇 十一郎","〇〇の会","","","","観光客の宿泊・滞在型観光への転換に向けた取組について","","","","","","","","","2","8/29 13:24","","","","","","","","",""
"R0702110101010000","11","〇〇 十一郎","〇〇の会","","","","","夜間観光コンテンツの充実及び周遊促進策の実施状況について問う","夜間コンテンツの整備状況","周遊促進策の効果","","","","〇〇課","","3","8/29 13:24","〇〇部〇〇課","〇〇 〇〇","夜間ライトアップイベントを主要観光地3箇所で実施し、滞在時間の延伸につながっています。周遊促進策として観光アプリでのスタンプラリーも実施しています。","","","","","",""
"R0702110101020000","11","〇〇 十一郎","〇〇の会","","","","","インバウンド観光客への対応として、多言語対応及びキャッシュレス決済の普及状況について問う","多言語対応の整備状況","キャッシュレス対応店舗数","","","","〇〇課","","4","8/29 13:24","","","","","","","","",""
"R0702110102000000","11","〇〇 十一郎","〇〇の会","","","","観光と農業・特産品振興を結びつけた着地型観光の推進について","","","","","","","","","5","8/29 13:24","","","","","","","","",""
"R0702110102010000","11","〇〇 十一郎","〇〇の会","","","","","農業体験型ツアーの実施実績と、地元特産品の販路拡大への効果について問う","ツアーの実施実績","特産品の販路拡大効果","","","","〇〇課","","6","8/29 13:24","〇〇部〇〇課","〇〇 〇〇","農業体験ツアーは年間20回程度実施し、参加者による特産品のリピート購入にもつながっています。","","","","","",""
"R0702120100000000","12","〇〇 十二郎","〇〇クラブ","","","人口減少・高齢化が進む中での地域公共交通の維持と再構築について","","","","","","","","","","1","8/29 13:24","","","","","","","","",""
"R0702120101000000","12","〇〇 十二郎","〇〇クラブ","","","","コミュニティバスの運行ルート及び便数の見直しについて","","","","","","","","","2","8/29 13:24","","","","","","","","",""
"R0702120101010000","12","〇〇 十二郎","〇〇クラブ","","","","","コミュニティバスの利用実績に基づく運行ルート見直しの検討状況について問う","利用実績に基づく見直し","交通空白地域の解消","","","","〇〇課","","3","8/29 13:24","〇〇部〇〇課","〇〇 〇〇","利用実績データを分析し、需要の高い時間帯への便数集中と、利用の少ないルートの再編を検討しています。交通空白地域の解消に向けデマンド型交通の導入も視野に入れています。","","","","","",""
"R0702120101010100","12","〇〇 十二郎","〇〇クラブ","","","","","","","","","","","","","","8/29 13:24","","","","1","デマンド型交通の導入時期の見込みと、対象地域の選定基準について再質問する。","〇〇部〇〇課","","",""
"R0702120101010101","12","〇〇 十二郎","〇〇クラブ","","","","","","","","","","","","","","8/29 13:24","","","","1","デマンド型交通の導入時期の見込みと、対象地域の選定基準について再質問する。","〇〇部〇〇課","1","〇〇部長　〇〇　〇〇","令和8年度中に試行導入を予定しており、公共交通空白地域のうち高齢化率が特に高い地区を優先的に選定する方針です。"
"R0702120101020000","12","〇〇 十二郎","〇〇クラブ","","","","","高齢者運転免許自主返納者への交通費支援の実施状況について問う","支援制度の利用実績","支援内容の拡充","","","","〇〇課","","4","8/29 13:24","〇〇部〇〇課","〇〇 〇〇","自主返納者へのバス・タクシー利用券の交付は年間約400件の実績があります。利用者アンケートを踏まえ、支援内容の拡充を検討しています。","","","","","",""
"R0702120102000000","12","〇〇 十二郎","〇〇クラブ","","","","デマンド型交通の導入検討と交通事業者との連携について","","","","","","","","","5","8/29 13:24","","","","","","","","",""
"R0702120102010000","12","〇〇 十二郎","〇〇クラブ","","","","","近隣自治体でのデマンド型交通の導入事例を踏まえた本市での実現可能性について問う","先進事例の調査結果","実現に向けた課題","","","","〇〇課","","6","8/29 13:24","","","","","","","","",""
