"#META","","3","city","○○市","printSel","[]"
"行ID","発言順位","議員名","会派","質問日","質問予定時間","大きな項目","小さな項目","内容","主訴1","主訴2","主訴3","主訴4","主訴5","所管","聞取り担当者","並び順","出力時刻"
"R0142","10","加藤 直子","無所属","令和7年9月11日","10:00～10:20","健康づくり施策について","","","","","","","","","","",""
"R0143","10","加藤 直子","無所属","令和7年9月11日","10:00～10:20","","健康づくり施策における他自治体との連携について","","","","","","","","","",""
"R0144","10","加藤 直子","無所属","令和7年9月11日","10:00～10:20","","","健康づくり施策の現状と課題をどのように認識しているか、市の見解を伺う。","スケジュールを明確にされたい","今後の対応方針を問う","","","","総務部","議会事務局 佐藤","144","2026/08/20 09:00"
"R0145","10","加藤 直子","無所属","令和7年9月11日","10:00～10:20","","","健康づくり施策に係る令和8年度予算への反映方針を伺う。","数値目標の有無を問う","予算措置の考え方を問う","関係部局との連携体制を問う","","","企画政策部","議会事務局 田中","145","2026/08/20 09:00"
"R0146","10","加藤 直子","無所属","令和7年9月11日","10:00～10:20","","健康づくり施策の現状と今後の方針について","","","","","","","","","",""
"R0147","11","吉田 修平","市民フォーラム","令和7年9月11日","10:20～10:40","健康づくり施策について","","","","","","","","","","",""
"R0148","11","吉田 修平","市民フォーラム","令和7年9月11日","10:20～10:40","観光振興について","","","","","","","","","","",""
"R0149","11","吉田 修平","市民フォーラム","令和7年9月11日","10:20～10:40","","観光振興の現状と今後の方針について","","","","","","","","","",""
"R0150","11","吉田 修平","市民フォーラム","令和7年9月11日","10:20～10:40","","","観光振興に係る令和8年度予算への反映方針を伺う。","現状認識を問う","","","","","財政部","議会事務局 鈴木","150","2026/08/20 09:00"
"R0151","11","吉田 修平","市民フォーラム","令和7年9月11日","10:20～10:40","移住・定住促進策について","","","","","","","","","","",""
"R0152","11","吉田 修平","市民フォーラム","令和7年9月11日","10:20～10:40","","移住・定住促進策に係る予算措置について","","","","","","","","","",""
"R0153","11","吉田 修平","市民フォーラム","令和7年9月11日","10:20～10:40","","","移住・定住促進策の推進にあたり、他自治体の先進事例をどのように参考にしているか伺う。","今後の対応方針を問う","市民への周知方法を問う","","","","福祉部","議会事務局 高橋","153","2026/08/20 09:00"
"R0154","11","吉田 修平","市民フォーラム","令和7年9月11日","10:20～10:40","","","移住・定住促進策について、関係部局との連携体制はどのようになっているか伺う。","予算措置の考え方を問う","関係部局との連携体制を問う","現状認識を問う","","","子ども未来部","議会事務局 伊藤","154","2026/08/20 09:00"
"R0155","11","吉田 修平","市民フォーラム","令和7年9月11日","10:20～10:40","","移住・定住促進策における他自治体との連携について","","","","","","","","","",""
"R0156","11","吉田 修平","市民フォーラム","令和7年9月11日","10:20～10:40","","","移住・定住促進策について、関係部局との連携体制はどのようになっているか伺う。","他自治体の事例を踏まえた検討を求める","","","","","健康推進部","議会事務局 佐藤","156","2026/08/20 09:00"
"R0157","11","吉田 修平","市民フォーラム","令和7年9月11日","10:20～10:40","","","移住・定住促進策の現状と課題をどのように認識しているか、市の見解を伺う。","市民への周知方法を問う","数値目標の有無を問う","","","","環境部","議会事務局 田中","157","2026/08/20 09:00"
"R0158","11","吉田 修平","市民フォーラム","令和7年9月11日","10:20～10:40","","","移住・定住促進策に係る令和8年度予算への反映方針を伺う。","関係部局との連携体制を問う","現状認識を問う","他自治体の事例を踏まえた検討を求める","","","都市整備部","議会事務局 鈴木","158","2026/08/20 09:00"
"R0159","12","山田 智子","公明党市議団","令和7年9月11日","10:40～11:00","子どもの貧困対策について","","","","","","","","","","",""
"R0160","12","山田 智子","公明党市議団","令和7年9月11日","10:40～11:00","","子どもの貧困対策における他自治体との連携について","","","","","","","","","",""
"R0161","12","山田 智子","公明党市議団","令和7年9月11日","10:40～11:00","","","子どもの貧困対策について、今後の具体的な取組内容とスケジュールを示されたい。","スケジュールを明確にされたい","","","","","建設部","議会事務局 高橋","161","2026/08/20 09:00"
"R0162","12","山田 智子","公明党市議団","令和7年9月11日","10:40～11:00","","子どもの貧困対策の現状と今後の方針について","","","","","","","","","",""
"R0163","12","山田 智子","公明党市議団","令和7年9月11日","10:40～11:00","","子どもの貧困対策の推進体制について","","","","","","","","","",""
"R0164","12","山田 智子","公明党市議団","令和7年9月11日","10:40～11:00","","","子どもの貧困対策に係る令和8年度予算への反映方針を伺う。","数値目標の有無を問う","予算措置の考え方を問う","","","","産業観光部","議会事務局 伊藤","164","2026/08/20 09:00"
"R0165","12","山田 智子","公明党市議団","令和7年9月11日","10:40～11:00","","","子どもの貧困対策に関する市民への周知・広報の取組状況を伺う。","現状認識を問う","他自治体の事例を踏まえた検討を求める","スケジュールを明確にされたい","","","教育委員会事務局","議会事務局 佐藤","165","2026/08/20 09:00"
"R0166","12","山田 智子","公明党市議団","令和7年9月11日","10:40～11:00","","","子どもの貧困対策に対する市民アンケート等の実施予定はあるか伺う。","今後の対応方針を問う","","","","","防災危機管理部","議会事務局 田中","166","2026/08/20 09:00"
"R0167","12","山田 智子","公明党市議団","令和7年9月11日","10:40～11:00","デジタル人材について","","","","","","","","","","",""
"R0168","12","山田 智子","公明党市議団","令和7年9月11日","10:40～11:00","","デジタル人材に係る予算措置について","","","","","","","","","",""
"R0169","12","山田 智子","公明党市議団","令和7年9月11日","10:40～11:00","","","デジタル人材について、関係部局との連携体制はどのようになっているか伺う。","予算措置の考え方を問う","関係部局との連携体制を問う","","","","市民協働部","議会事務局 鈴木","169","2026/08/20 09:00"
"R0170","12","山田 智子","公明党市議団","令和7年9月11日","10:40～11:00","地域コミュニティについて","","","","","","","","","","",""
"R0171","12","山田 智子","公明党市議団","令和7年9月11日","10:40～11:00","","地域コミュニティの推進体制について","","","","","","","","","",""
"R0172","12","山田 智子","公明党市議団","令和7年9月11日","10:40～11:00","","","地域コミュニティに対する市民アンケート等の実施予定はあるか伺う。","他自治体の事例を踏まえた検討を求める","スケジュールを明確にされたい","今後の対応方針を問う","","","上下水道局","議会事務局 高橋","172","2026/08/20 09:00"
"R0173","12","山田 智子","公明党市議団","令和7年9月11日","10:40～11:00","","","地域コミュニティについて、今後の具体的な取組内容とスケジュールを示されたい。","市民への周知方法を問う","","","","","総務部","議会事務局 伊藤","173","2026/08/20 09:00"
"R0174","12","山田 智子","公明党市議団","令和7年9月11日","10:40～11:00","","地域コミュニティに関する市民周知について","","","","","","","","","",""
"R0175","12","山田 智子","公明党市議団","令和7年9月11日","10:40～11:00","","","地域コミュニティについて、今後の具体的な取組内容とスケジュールを示されたい。","関係部局との連携体制を問う","現状認識を問う","","","","企画政策部","議会事務局 佐藤","175","2026/08/20 09:00"
"R0176","12","山田 智子","公明党市議団","令和7年9月11日","10:40～11:00","","","地域コミュニティの推進にあたり、他自治体の先進事例をどのように参考にしているか伺う。","スケジュールを明確にされたい","今後の対応方針を問う","市民への周知方法を問う","","","財政部","議会事務局 田中","176","2026/08/20 09:00"
"R0177","12","山田 智子","公明党市議団","令和7年9月11日","10:40～11:00","","","地域コミュニティについて、関係部局との連携体制はどのようになっているか伺う。","数値目標の有無を問う","","","","","福祉部","議会事務局 鈴木","177","2026/08/20 09:00"
"R0178","12","山田 智子","公明党市議団","令和7年9月11日","10:40～11:00","男女共同参画について","","","","","","","","","","",""
"R0179","13","佐々木 亮","日本共産党市議団","令和7年9月11日","11:00～11:20","地域コミュニティについて","","","","","","","","","","",""
"R0180","13","佐々木 亮","日本共産党市議団","令和7年9月11日","11:00～11:20","","地域コミュニティに関する市民周知について","","","","","","","","","",""
"R0181","13","佐々木 亮","日本共産党市議団","令和7年9月11日","11:00～11:20","男女共同参画について","","","","","","","","","","",""
"R0182","13","佐々木 亮","日本共産党市議団","令和7年9月11日","11:00～11:20","","男女共同参画の現状と今後の方針について","","","","","","","","","",""
"R0183","13","佐々木 亮","日本共産党市議団","令和7年9月11日","11:00～11:20","","","男女共同参画に関する市民への周知・広報の取組状況を伺う。","現状認識を問う","他自治体の事例を踏まえた検討を求める","","","","子ども未来部","議会事務局 高橋","183","2026/08/20 09:00"
"R0184","13","佐々木 亮","日本共産党市議団","令和7年9月11日","11:00～11:20","","","男女共同参画に対する市民アンケート等の実施予定はあるか伺う。","今後の対応方針を問う","市民への周知方法を問う","数値目標の有無を問う","","","健康推進部","議会事務局 伊藤","184","2026/08/20 09:00"
"R0185","13","佐々木 亮","日本共産党市議団","令和7年9月11日","11:00～11:20","","男女共同参画の推進体制について","","","","","","","","","",""
"R0186","13","佐々木 亮","日本共産党市議団","令和7年9月11日","11:00～11:20","","","男女共同参画に対する市民アンケート等の実施予定はあるか伺う。","予算措置の考え方を問う","","","","","環境部","議会事務局 佐藤","186","2026/08/20 09:00"
"R0187","13","佐々木 亮","日本共産党市議団","令和7年9月11日","11:00～11:20","","","男女共同参画について、今後の具体的な取組内容とスケジュールを示されたい。","他自治体の事例を踏まえた検討を求める","スケジュールを明確にされたい","","","","都市整備部","議会事務局 田中","187","2026/08/20 09:00"
"R0188","13","佐々木 亮","日本共産党市議団","令和7年9月11日","11:00～11:20","","","男女共同参画の推進にあたり、他自治体の先進事例をどのように参考にしているか伺う。","市民への周知方法を問う","数値目標の有無を問う","予算措置の考え方を問う","","","建設部","議会事務局 鈴木","188","2026/08/20 09:00"
"R0189","14","松本 千尋","自由民主党市議団","令和7年9月11日","13:00～13:20","男女共同参画について","","","","","","","","","","",""
"R0190","14","松本 千尋","自由民主党市議団","令和7年9月11日","13:00～13:20","","男女共同参画の推進体制について","","","","","","","","","",""
"R0191","14","松本 千尋","自由民主党市議団","令和7年9月11日","13:00～13:20","","","男女共同参画に係る令和8年度予算への反映方針を伺う。","関係部局との連携体制を問う","","","","","産業観光部","議会事務局 高橋","191","2026/08/20 09:00"
"R0192","14","松本 千尋","自由民主党市議団","令和7年9月11日","13:00～13:20","","男女共同参画に関する市民周知について","","","","","","","","","",""
"R0193","14","松本 千尋","自由民主党市議団","令和7年9月11日","13:00～13:20","","","男女共同参画の推進にあたり、他自治体の先進事例をどのように参考にしているか伺う。","スケジュールを明確にされたい","今後の対応方針を問う","","","","教育委員会事務局","議会事務局 伊藤","193","2026/08/20 09:00"
"R0194","14","松本 千尋","自由民主党市議団","令和7年9月11日","13:00～13:20","","","男女共同参画について、関係部局との連携体制はどのようになっているか伺う。","数値目標の有無を問う","予算措置の考え方を問う","関係部局との連携体制を問う","","","防災危機管理部","議会事務局 佐藤","194","2026/08/20 09:00"
"R0195","14","松本 千尋","自由民主党市議団","令和7年9月11日","13:00～13:20","","男女共同参画に係る予算措置について","","","","","","","","","",""
"R0196","14","松本 千尋","自由民主党市議団","令和7年9月11日","13:00～13:20","防災・減災対策について","","","","","","","","","","",""
"R0197","14","松本 千尋","自由民主党市議団","令和7年9月11日","13:00～13:20","","防災・減災対策の現状と今後の方針について","","","","","","","","","",""
"R0198","14","松本 千尋","自由民主党市議団","令和7年9月11日","13:00～13:20","","","防災・減災対策について、関係部局との連携体制はどのようになっているか伺う。","現状認識を問う","","","","","市民協働部","議会事務局 田中","198","2026/08/20 09:00"
"R0199","14","松本 千尋","自由民主党市議団","令和7年9月11日","13:00～13:20","DX(デジタル・トランスフォーメーション)について","","","","","","","","","","",""
"R0200","14","松本 千尋","自由民主党市議団","令和7年9月11日","13:00～13:20","","DX(デジタル・トランスフォーメーション)に係る予算措置について","","","","","","","","","",""
"R0201","14","松本 千尋","自由民主党市議団","令和7年9月11日","13:00～13:20","","","DX(デジタル・トランスフォーメーション)に対する市民アンケート等の実施予定はあるか伺う。","今後の対応方針を問う","市民への周知方法を問う","","","","上下水道局","議会事務局 鈴木","201","2026/08/20 09:00"
"R0202","14","松本 千尋","自由民主党市議団","令和7年9月11日","13:00～13:20","","","DX(デジタル・トランスフォーメーション)について、今後の具体的な取組内容とスケジュールを示されたい。","予算措置の考え方を問う","関係部局との連携体制を問う","現状認識を問う","","","総務部","議会事務局 高橋","202","2026/08/20 09:00"
"R0203","14","松本 千尋","自由民主党市議団","令和7年9月11日","13:00～13:20","","DX(デジタル・トランスフォーメーション)における他自治体との連携について","","","","","","","","","",""
"R0204","14","松本 千尋","自由民主党市議団","令和7年9月11日","13:00～13:20","","","DX(デジタル・トランスフォーメーション)について、今後の具体的な取組内容とスケジュールを示されたい。","他自治体の事例を踏まえた検討を求める","","","","","企画政策部","議会事務局 伊藤","204","2026/08/20 09:00"
"R0205","14","松本 千尋","自由民主党市議団","令和7年9月11日","13:00～13:20","","","DX(デジタル・トランスフォーメーション)の推進にあたり、他自治体の先進事例をどのように参考にしているか伺う。","市民への周知方法を問う","数値目標の有無を問う","","","","財政部","議会事務局 佐藤","205","2026/08/20 09:00"
"R0206","14","松本 千尋","自由民主党市議団","令和7年9月11日","13:00～13:20","","","DX(デジタル・トランスフォーメーション)について、関係部局との連携体制はどのようになっているか伺う。","関係部局との連携体制を問う","現状認識を問う","他自治体の事例を踏まえた検討を求める","","","福祉部","議会事務局 田中","206","2026/08/20 09:00"
"R0207","15","井上 隆","無所属の会","令和7年9月12日","13:20～13:40","子育て支援施策について","","","","","","","","","","",""
"R0208","15","井上 隆","無所属の会","令和7年9月12日","13:20～13:40","高齢者福祉施策について","","","","","","","","","","",""
"R0209","15","井上 隆","無所属の会","令和7年9月12日","13:20～13:40","","高齢者福祉施策における他自治体との連携について","","","","","","","","","",""
"R0210","15","井上 隆","無所属の会","令和7年9月12日","13:20～13:40","","","高齢者福祉施策に関する市民への周知・広報の取組状況を伺う。","スケジュールを明確にされたい","","","","","子ども未来部","議会事務局 鈴木","210","2026/08/20 09:00"
"R0211","15","井上 隆","無所属の会","令和7年9月12日","13:20～13:40","環境・脱炭素施策について","","","","","","","","","","",""
"R0212","15","井上 隆","無所属の会","令和7年9月12日","13:20～13:40","","環境・脱炭素施策に関する市民周知について","","","","","","","","","",""
"R0213","15","井上 隆","無所属の会","令和7年9月12日","13:20～13:40","","環境・脱炭素施策に係る予算措置について","","","","","","","","","",""
"R0214","15","井上 隆","無所属の会","令和7年9月12日","13:20～13:40","","","環境・脱炭素施策について、関係部局との連携体制はどのようになっているか伺う。","数値目標の有無を問う","予算措置の考え方を問う","","","","健康推進部","議会事務局 高橋","214","2026/08/20 09:00"
"R0215","15","井上 隆","無所属の会","令和7年9月12日","13:20～13:40","","","環境・脱炭素施策の現状と課題をどのように認識しているか、市の見解を伺う。","現状認識を問う","他自治体の事例を踏まえた検討を求める","スケジュールを明確にされたい","","","環境部","議会事務局 伊藤","215","2026/08/20 09:00"
"R0216","15","井上 隆","無所属の会","令和7年9月12日","13:20～13:40","","","環境・脱炭素施策に係る令和8年度予算への反映方針を伺う。","今後の対応方針を問う","","","","","都市整備部","議会事務局 佐藤","216","2026/08/20 09:00"
"R0217","15","井上 隆","無所属の会","令和7年9月12日","13:20～13:40","中心市街地について","","","","","","","","","","",""
"R0218","15","井上 隆","無所属の会","令和7年9月12日","13:20～13:40","","中心市街地に係る予算措置について","","","","","","","","","",""
"R0219","15","井上 隆","無所属の会","令和7年9月12日","13:20～13:40","","","中心市街地について、今後の具体的な取組内容とスケジュールを示されたい。","予算措置の考え方を問う","関係部局との連携体制を問う","","","","建設部","議会事務局 田中","219","2026/08/20 09:00"
"R0220","15","井上 隆","無所属の会","令和7年9月12日","13:20～13:40","","中心市街地における他自治体との連携について","","","","","","","","","",""
"R0221","15","井上 隆","無所属の会","令和7年9月12日","13:20～13:40","","","中心市街地に係る令和8年度予算への反映方針を伺う。","他自治体の事例を踏まえた検討を求める","スケジュールを明確にされたい","今後の対応方針を問う","","","産業観光部","議会事務局 鈴木","221","2026/08/20 09:00"
"R0222","15","井上 隆","無所属の会","令和7年9月12日","13:20～13:40","","","中心市街地に関する市民への周知・広報の取組状況を伺う。","市民への周知方法を問う","","","","","教育委員会事務局","議会事務局 高橋","222","2026/08/20 09:00"
"R0223","15","井上 隆","無所属の会","令和7年9月12日","13:20～13:40","","中心市街地の現状と今後の方針について","","","","","","","","","",""
"R0224","15","井上 隆","無所属の会","令和7年9月12日","13:20～13:40","","","中心市街地に関する市民への周知・広報の取組状況を伺う。","関係部局との連携体制を問う","現状認識を問う","","","","防災危機管理部","議会事務局 伊藤","224","2026/08/20 09:00"
"R0225","15","井上 隆","無所属の会","令和7年9月12日","13:20～13:40","","","中心市街地に対する市民アンケート等の実施予定はあるか伺う。","スケジュールを明確にされたい","今後の対応方針を問う","市民への周知方法を問う","","","市民協働部","議会事務局 佐藤","225","2026/08/20 09:00"
"R0226","15","井上 隆","無所属の会","令和7年9月12日","13:20～13:40","","","中心市街地について、今後の具体的な取組内容とスケジュールを示されたい。","数値目標の有無を問う","","","","","上下水道局","議会事務局 田中","226","2026/08/20 09:00"
"R0227","16","木村 綾子","緑の風","令和7年9月12日","13:40～14:00","環境・脱炭素施策について","","","","","","","","","","",""
"R0228","16","木村 綾子","緑の風","令和7年9月12日","13:40～14:00","","環境・脱炭素施策に関する市民周知について","","","","","","","","","",""
"R0229","16","木村 綾子","緑の風","令和7年9月12日","13:40～14:00","中心市街地について","","","","","","","","","","",""
"R0230","16","木村 綾子","緑の風","令和7年9月12日","13:40～14:00","","中心市街地の現状と今後の方針について","","","","","","","","","",""
"R0231","16","木村 綾子","緑の風","令和7年9月12日","13:40～14:00","","","中心市街地の現状と課題をどのように認識しているか、市の見解を伺う。","現状認識を問う","他自治体の事例を踏まえた検討を求める","","","","総務部","議会事務局 鈴木","231","2026/08/20 09:00"
"R0232","16","木村 綾子","緑の風","令和7年9月12日","13:40～14:00","","","中心市街地に係る令和8年度予算への反映方針を伺う。","今後の対応方針を問う","市民への周知方法を問う","数値目標の有無を問う","","","企画政策部","議会事務局 高橋","232","2026/08/20 09:00"
"R0233","16","木村 綾子","緑の風","令和7年9月12日","13:40～14:00","","中心市街地の推進体制について","","","","","","","","","",""
"R0234","16","木村 綾子","緑の風","令和7年9月12日","13:40～14:00","","","中心市街地に係る令和8年度予算への反映方針を伺う。","予算措置の考え方を問う","","","","","財政部","議会事務局 伊藤","234","2026/08/20 09:00"
"R0235","16","木村 綾子","緑の風","令和7年9月12日","13:40～14:00","","","中心市街地に関する市民への周知・広報の取組状況を伺う。","他自治体の事例を踏まえた検討を求める","スケジュールを明確にされたい","","","","福祉部","議会事務局 佐藤","235","2026/08/20 09:00"
"R0236","16","木村 綾子","緑の風","令和7年9月12日","13:40～14:00","","","中心市街地に対する市民アンケート等の実施予定はあるか伺う。","市民への周知方法を問う","数値目標の有無を問う","予算措置の考え方を問う","","","子ども未来部","議会事務局 田中","236","2026/08/20 09:00"
"R0237","17","林 慎一","新政クラブ","令和7年9月12日","14:00～14:20","中心市街地について","","","","","","","","","","",""
"R0238","17","林 慎一","新政クラブ","令和7年9月12日","14:00～14:20","健康づくり施策について","","","","","","","","","","",""
"R0239","17","林 慎一","新政クラブ","令和7年9月12日","14:00～14:20","","健康づくり施策の推進体制について","","","","","","","","","",""
"R0240","17","林 慎一","新政クラブ","令和7年9月12日","14:00～14:20","","","健康づくり施策について、関係部局との連携体制はどのようになっているか伺う。","関係部局との連携体制を問う","","","","","健康推進部","議会事務局 鈴木","240","2026/08/20 09:00"
"R0241","17","林 慎一","新政クラブ","令和7年9月12日","14:00～14:20","観光振興について","","","","","","","","","","",""
"R0242","17","林 慎一","新政クラブ","令和7年9月12日","14:00～14:20","","観光振興における他自治体との連携について","","","","","","","","","",""
"R0243","17","林 慎一","新政クラブ","令和7年9月12日","14:00～14:20","","","観光振興に対する市民アンケート等の実施予定はあるか伺う。","スケジュールを明確にされたい","今後の対応方針を問う","","","","環境部","議会事務局 高橋","243","2026/08/20 09:00"
"R0244","17","林 慎一","新政クラブ","令和7年9月12日","14:00～14:20","","","観光振興について、今後の具体的な取組内容とスケジュールを示されたい。","数値目標の有無を問う","予算措置の考え方を問う","関係部局との連携体制を問う","","","都市整備部","議会事務局 伊藤","244","2026/08/20 09:00"
"R0245","17","林 慎一","新政クラブ","令和7年9月12日","14:00～14:20","","観光振興の現状と今後の方針について","","","","","","","","","",""
"R0246","18","清水 秀樹","公明党","令和7年9月12日","14:20～14:40","財政運営について","","","","","","","","","","",""
"R0247","18","清水 秀樹","公明党","令和7年9月12日","14:20～14:40","","財政運営の現状と今後の方針について","","","","","","","","","",""
"R0248","18","清水 秀樹","公明党","令和7年9月12日","14:20～14:40","","","財政運営について、今後の具体的な取組内容とスケジュールを示されたい。","現状認識を問う","","","","","建設部","議会事務局 佐藤","248","2026/08/20 09:00"
"R0249","18","清水 秀樹","公明党","令和7年9月12日","14:20～14:40","","財政運営の推進体制について","","","","","","","","","",""
"R0250","18","清水 秀樹","公明党","令和7年9月12日","14:20～14:40","","","財政運営に係る令和8年度予算への反映方針を伺う。","今後の対応方針を問う","市民への周知方法を問う","","","","産業観光部","議会事務局 田中","250","2026/08/20 09:00"
"R0251","18","清水 秀樹","公明党","令和7年9月12日","14:20～14:40","","","財政運営に関する市民への周知・広報の取組状況を伺う。","予算措置の考え方を問う","関係部局との連携体制を問う","現状認識を問う","","","教育委員会事務局","議会事務局 鈴木","251","2026/08/20 09:00"
"R0252","18","清水 秀樹","公明党","令和7年9月12日","14:20～14:40","","財政運営に関する市民周知について","","","","","","","","","",""
"R0253","18","清水 秀樹","公明党","令和7年9月12日","14:20～14:40","","","財政運営に関する市民への周知・広報の取組状況を伺う。","他自治体の事例を踏まえた検討を求める","","","","","防災危機管理部","議会事務局 高橋","253","2026/08/20 09:00"
"R0254","18","清水 秀樹","公明党","令和7年9月12日","14:20～14:40","","","財政運営に対する市民アンケート等の実施予定はあるか伺う。","市民への周知方法を問う","数値目標の有無を問う","","","","市民協働部","議会事務局 伊藤","254","2026/08/20 09:00"
"R0255","18","清水 秀樹","公明党","令和7年9月12日","14:20～14:40","","","財政運営について、今後の具体的な取組内容とスケジュールを示されたい。","関係部局との連携体制を問う","現状認識を問う","他自治体の事例を踏まえた検討を求める","","","上下水道局","議会事務局 佐藤","255","2026/08/20 09:00"
"R0256","18","清水 秀樹","公明党","令和7年9月12日","14:20～14:40","子どもの貧困対策について","","","","","","","","","","",""
"R0257","18","清水 秀樹","公明党","令和7年9月12日","14:20～14:40","","子どもの貧困対策における他自治体との連携について","","","","","","","","","",""
"R0258","18","清水 秀樹","公明党","令和7年9月12日","14:20～14:40","","","子どもの貧困対策の現状と課題をどのように認識しているか、市の見解を伺う。","スケジュールを明確にされたい","","","","","総務部","議会事務局 田中","258","2026/08/20 09:00"
"R0259","18","清水 秀樹","公明党","令和7年9月12日","14:20～14:40","デジタル人材について","","","","","","","","","","",""
"R0260","18","清水 秀樹","公明党","令和7年9月12日","14:20～14:40","","デジタル人材に関する市民周知について","","","","","","","","","",""
"R0261","18","清水 秀樹","公明党","令和7年9月12日","14:20～14:40","","デジタル人材に係る予算措置について","","","","","","","","","",""
"R0262","18","清水 秀樹","公明党","令和7年9月12日","14:20～14:40","","","デジタル人材について、今後の具体的な取組内容とスケジュールを示されたい。","数値目標の有無を問う","予算措置の考え方を問う","","","","企画政策部","議会事務局 鈴木","262","2026/08/20 09:00"
"R0263","18","清水 秀樹","公明党","令和7年9月12日","14:20～14:40","","","デジタル人材の推進にあたり、他自治体の先進事例をどのように参考にしているか伺う。","現状認識を問う","他自治体の事例を踏まえた検討を求める","スケジュールを明確にされたい","","","財政部","議会事務局 高橋","263","2026/08/20 09:00"
"R0264","18","清水 秀樹","公明党","令和7年9月12日","14:20～14:40","","","デジタル人材について、関係部局との連携体制はどのようになっているか伺う。","今後の対応方針を問う","","","","","福祉部","議会事務局 伊藤","264","2026/08/20 09:00"
"R0265","18","清水 秀樹","公明党","令和7年9月12日","14:20～14:40","地域コミュニティについて","","","","","","","","","","",""
"R0266","19","山口 麻衣","立憲民主党市議団","令和7年9月12日","10:00～10:20","デジタル人材について","","","","","","","","","","",""
"R0267","19","山口 麻衣","立憲民主党市議団","令和7年9月12日","10:00～10:20","","デジタル人材に係る予算措置について","","","","","","","","","",""
"R0268","19","山口 麻衣","立憲民主党市議団","令和7年9月12日","10:00～10:20","","","デジタル人材に関する市民への周知・広報の取組状況を伺う。","予算措置の考え方を問う","関係部局との連携体制を問う","","","","子ども未来部","議会事務局 佐藤","268","2026/08/20 09:00"
"R0269","19","山口 麻衣","立憲民主党市議団","令和7年9月12日","10:00～10:20","地域コミュニティについて","","","","","","","","","","",""
"R0270","19","山口 麻衣","立憲民主党市議団","令和7年9月12日","10:00～10:20","","地域コミュニティの推進体制について","","","","","","","","","",""
"R0271","19","山口 麻衣","立憲民主党市議団","令和7年9月12日","10:00～10:20","","","地域コミュニティについて、関係部局との連携体制はどのようになっているか伺う。","他自治体の事例を踏まえた検討を求める","スケジュールを明確にされたい","今後の対応方針を問う","","","健康推進部","議会事務局 田中","271","2026/08/20 09:00"
"R0272","19","山口 麻衣","立憲民主党市議団","令和7年9月12日","10:00～10:20","","","地域コミュニティの現状と課題をどのように認識しているか、市の見解を伺う。","市民への周知方法を問う","","","","","環境部","議会事務局 鈴木","272","2026/08/20 09:00"
"R0273","19","山口 麻衣","立憲民主党市議団","令和7年9月12日","10:00～10:20","","地域コミュニティに関する市民周知について","","","","","","","","","",""
"R0274","19","山口 麻衣","立憲民主党市議団","令和7年9月12日","10:00～10:20","","","地域コミュニティの現状と課題をどのように認識しているか、市の見解を伺う。","関係部局との連携体制を問う","現状認識を問う","","","","都市整備部","議会事務局 高橋","274","2026/08/20 09:00"
"R0275","19","山口 麻衣","立憲民主党市議団","令和7年9月12日","10:00～10:20","","","地域コミュニティに係る令和8年度予算への反映方針を伺う。","スケジュールを明確にされたい","今後の対応方針を問う","市民への周知方法を問う","","","建設部","議会事務局 伊藤","275","2026/08/20 09:00"
"R0276","19","山口 麻衣","立憲民主党市議団","令和7年9月12日","10:00～10:20","","","地域コミュニティに関する市民への周知・広報の取組状況を伺う。","数値目標の有無を問う","","","","","産業観光部","議会事務局 佐藤","276","2026/08/20 09:00"
"R0277","20","斎藤 浩","無所属","令和7年9月12日","10:20～10:40","地域コミュニティについて","","","","","","","","","","",""
"R0278","20","斎藤 浩","無所属","令和7年9月12日","10:20～10:40","","地域コミュニティに関する市民周知について","","","","","","","","","",""
"R0279","20","斎藤 浩","無所属","令和7年9月12日","10:20～10:40","","地域コミュニティに係る予算措置について","","","","","","","","","",""
"R0280","20","斎藤 浩","無所属","令和7年9月12日","10:20～10:40","","","地域コミュニティの推進にあたり、他自治体の先進事例をどのように参考にしているか伺う。","現状認識を問う","他自治体の事例を踏まえた検討を求める","","","","教育委員会事務局","議会事務局 田中","280","2026/08/20 09:00"
"R0281","20","斎藤 浩","無所属","令和7年9月12日","10:20～10:40","","","地域コミュニティについて、関係部局との連携体制はどのようになっているか伺う。","今後の対応方針を問う","市民への周知方法を問う","数値目標の有無を問う","","","防災危機管理部","議会事務局 鈴木","281","2026/08/20 09:00"
"R0282","20","斎藤 浩","無所属","令和7年9月12日","10:20～10:40","","地域コミュニティにおける他自治体との連携について","","","","","","","","","",""
"R0283","20","斎藤 浩","無所属","令和7年9月12日","10:20～10:40","","","地域コミュニティについて、関係部局との連携体制はどのようになっているか伺う。","予算措置の考え方を問う","","","","","市民協働部","議会事務局 高橋","283","2026/08/20 09:00"
"R0284","20","斎藤 浩","無所属","令和7年9月12日","10:20～10:40","","","地域コミュニティの現状と課題をどのように認識しているか、市の見解を伺う。","他自治体の事例を踏まえた検討を求める","スケジュールを明確にされたい","","","","上下水道局","議会事務局 伊藤","284","2026/08/20 09:00"
"R0285","20","斎藤 浩","無所属","令和7年9月12日","10:20～10:40","","","地域コミュニティに係る令和8年度予算への反映方針を伺う。","市民への周知方法を問う","数値目標の有無を問う","予算措置の考え方を問う","","","総務部","議会事務局 佐藤","285","2026/08/20 09:00"
"R0286","20","斎藤 浩","無所属","令和7年9月12日","10:20～10:40","男女共同参画について","","","","","","","","","","",""
